Name,Price,Description,Rate,Rating_count,Details,image,Brand,Gender,Product_Type,Character,Fragrance_Family,Size,Year,Ingredients,Concentration,Top_note,Middle_note,Base_note
Al Dakheel Oud Masaya Gold EDP,138 SAR,"A wonderful and distinctive fragrance that provides you with a refreshing feel and a sense of comfort.
It is enriched with a floral blend that has a sensual scent.
It provides you with a sexy and elegant look that catches everyone's attention from the first moment.
It also boosts your confidence and makes you feel comfortable and refreshed all the time.
This fragrance is the perfect companion for you on all your special occasions.
About the brand:
Al Dakheel for Oud is a glowing brand in the space of producing and marketing unique Oud and perfumes worldwide. The company started its journey with the brothers Ahmed and Khaled, sons of Fahd Al-Dakhil in 1983 from the Kingdom of Saudi Arabia with a small exhibition in Souk Al Deira until it owned 80 showrooms in the Gulf. It's known for its outstanding excellence in crafting perfumes with quality.",none,none,"['Al Dakheel Oud', 'Unisex', 'Perfume', 'Sensual', 'Floral', '75 ml', 'Eau de Parfum', 'Tuberose Flower, Gardenia, Jasmine', 'Vanilla, Orange Flower, Ylang-Ylang', 'Musk, Sandalwood, Cedarwood']",none,Al Dakheel Oud,Unisex,Perfume,Sensual,Floral,75 ml,Eau de Parfum,"Tuberose Flower, Gardenia, Jasmine","Vanilla, Orange Flower, Ylang-Ylang","Musk, Sandalwood, Cedarwood",,
Al Dakheel Oud Dehn Oud Almumayaz Perfume Oil,127 SAR,"The distinctive fragrance is a mixture of the finest types of oud, which makes it a unique oriental experience.
It has a strong and intense scent that will make you feel fresh for as long as possible.
It gives you a very elegant and attractive look and makes you feel confident and comfortable all the time.
It's also a perfect choice for a gift that you can present for your loved ones.
About the brand:
Al Dakheel for Oud is a glowing brand in the space of producing and marketing unique Oud and perfumes worldwide. The company started its journey with the brothers Ahmed and Khaled, sons of Fahd Al-Dakhil in 1983 from the Kingdom of Saudi Arabia with a small exhibition in Souk Al Deira until it owned 80 showrooms in the Gulf. It's known for its outstanding excellence in crafting perfumes with quality.",none,none,"['Al Dakheel Oud', 'Unisex', 'Perfume Oil', 'Glamorous', 'Oud', '3 ml', 'Perfume Oil']",none,Al Dakheel Oud,Unisex,Perfume Oil,Glamorous,Oud,3 ml,Perfume Oil,,,,,
Al Dakheel Oud White Tag EDP,69 SAR,"A distinctive perfume with unique ingredients extracted with precision.
The composition is lively and refreshing and represents the charm of eastern notes.
The perfume has an enchanting scent that will grab the attention of all those around you
This amazing fragrance will become an essential part of your perfume collection.
About the brand:
Al Dakheel for Oud is a glowing brand in the space of producing and marketing unique Oud and perfumes worldwide. The company started its journey with the brothers Ahmed and Khaled, sons of Fahd Al-Dakhil in 1983 from the Kingdom of Saudi Arabia with a small exhibition in Souk Al Deira until it owned 80 showrooms in the Gulf. It's known for its outstanding excellence in crafting perfumes with quality.",none,none,"['Al Dakheel Oud', 'Unisex', 'Perfume', 'Charismatic', 'Oriental', '50 ml', 'Eau de Parfum', 'Bergamot, Orange Blossom', 'Tuberose, Honeysuckle', 'Patchouli, Vanilla']",none,Al Dakheel Oud,Unisex,Perfume,Charismatic,Oriental,50 ml,Eau de Parfum,"Bergamot, Orange Blossom","Tuberose, Honeysuckle","Patchouli, Vanilla",,
Al Dakheel Oud Mukhallat Al-Shioukh EDP,184 SAR,"A warm oriental and powerful mixture of eastern notes that is distinctive and unique.
Get ready to shine and catch the spotlight and grab the attention of everyone around you.
The scent remains intense and strong throughout the day and gives you a sense of calmness and comfort.
The fragrance is rich in distinctive aromatic scents that blend together in perfect harmony.
About the brand:
Al Dakheel for Oud is a glowing brand in the space of producing and marketing unique Oud and perfumes worldwide. The company started its journey with the brothers Ahmed and Khaled, sons of Fahd Al-Dakhil in 1983 from the Kingdom of Saudi Arabia with a small exhibition in Souk Al Deira until it owned 80 showrooms in the Gulf. It's known for its outstanding excellence in crafting perfumes with quality.",none,none,"['Al Dakheel Oud', 'Unisex', 'Perfume', 'Natural', 'Woody', '50 ml', 'Eau de Parfum', 'Cardamom, Bergamot, Saffron', 'Rose, Geranium Flower, Aromatic Spices', 'Leather, Aromatic Woods']",none,Al Dakheel Oud,Unisex,Perfume,Natural,Woody,50 ml,Eau de Parfum,"Cardamom, Bergamot, Saffron","Rose, Geranium Flower, Aromatic Spices","Leather, Aromatic Woods",,
Al Dakheel Oud Majesta EDP,317 SAR,"An amazing aromatic blend that expresses your charming elegance and beauty.
It's rich in distinctive aromatic scents that harmonize with each other creating the perfect fragrance.
The fragrance represents your charming beauty and unique allure and will captivate the hearts of everyone around you.
The top notes of the fragrance make the scent softer and more intriguing.
About the brand:
Al Dakheel for Oud is a glowing brand in the space of producing and marketing unique Oud and perfumes worldwide. The company started its journey with the brothers Ahmed and Khaled, sons of Fahd Al-Dakhil in 1983 from the Kingdom of Saudi Arabia with a small exhibition in Souk Al Deira until it owned 80 showrooms in the Gulf. It's known for its outstanding excellence in crafting perfumes with quality.",none,none,"['Al Dakheel Oud', 'Unisex', 'Perfume', 'Natural', 'Woody', '75 ml', 'Eau de Parfum', 'Oud, Oriental Aromatic Spices, Fruits', 'Rose, Patchouli, Vanilla', 'Amber, Aromatic Woods, Musk']",none,Al Dakheel Oud,Unisex,Perfume,Natural,Woody,75 ml,Eau de Parfum,"Oud, Oriental Aromatic Spices, Fruits","Rose, Patchouli, Vanilla","Amber, Aromatic Woods, Musk",,
Al Dakheel Oud Royal Mixture Perfume Oil,432 SAR,"A luxurious aromatic blend designed for those looking for luxury and sophistication.
Get ready to shine on all your special occasions with a luxurious mix of aromas.
The fragrance provides you with a sexy and elegant look and envelops you with an attractive aura that captures the attention of everyone around you.
The scent will last for a long time which makes it the perfect companion for all your special moments.
Enjoy a feeling of vitality and freshness that remains all day long.
About the brand:
Al Dakheel for Oud is a glowing brand in the space of producing and marketing unique Oud and perfumes worldwide. The company started its journey with the brothers Ahmed and Khaled, sons of Fahd Al-Dakhil in 1983 from the Kingdom of Saudi Arabia with a small exhibition in Souk Al Deira until it owned 80 showrooms in the Gulf. It's known for its outstanding excellence in crafting perfumes with quality.",none,none,"['Al Dakheel Oud', 'Unisex', 'Perfume Oil', 'Charismatic', 'Oriental', '18 ml', 'Perfume Oil', 'Rose, Saffron', 'Oud Oil', 'Musk, Amber, Sandalwood']",none,Al Dakheel Oud,Unisex,Perfume Oil,Charismatic,Oriental,18 ml,Perfume Oil,"Rose, Saffron",Oud Oil,"Musk, Amber, Sandalwood",,
Al Dakheel Oud Blend Musk And Sandal EDP,161 SAR,"An exceptional aromatic fragrance that has a contemporary and oriental feel to it.
The fragrance is professionally designed to suit both men and women.
It is enriched with a unique aromatic formula extracted from distinctive natural ingredients with wonderful aromas.
Enjoy an attractive and daring look that grabs everyone's attention from the first moment.
The fragrance is also characterized by the strength of its smell which makes it last for long hours without fading.
Shine with a captivating glow on your special nights and days.
About the brand:
Al Dakheel for Oud is a glowing brand in the space of producing and marketing unique Oud and perfumes worldwide. The company started its journey with the brothers Ahmed and Khaled, sons of Fahd Al-Dakhil in 1983 from the Kingdom of Saudi Arabia with a small exhibition in Souk Al Deira until it owned 80 showrooms in the Gulf. It's known for its outstanding excellence in crafting perfumes with quality.",none,none,"['Al Dakheel Oud', 'Unisex', 'Perfume', 'Classical', 'Leather', '50 ml', 'Eau de Parfum', 'Citrus, Saffron, Lavender', 'Leather, Oud, Tobacco, Sandalwood', 'Musk, Vetiver']",none,Al Dakheel Oud,Unisex,Perfume,Classical,Leather,50 ml,Eau de Parfum,"Citrus, Saffron, Lavender","Leather, Oud, Tobacco, Sandalwood","Musk, Vetiver",,
Al Dakheel Oud Musk Special EDP,104 SAR,"An amazing fragrance that combines woody and floral notes in an enchanting way.
The fragrance is professionally designed to suit both men and women.
A luxurious blend that combines white musk and the precious scent of woods with a hint of velvety oud.
Enjoy an attractive and daring look that grabs everyone's attention from the first moment.
The fragrance is also characterized by its strength and for lasting for long hours without fading.
About the brand:
Al Dakheel for Oud is a glowing brand in the space of producing and marketing unique Oud and perfumes worldwide. The company started its journey with the brothers Ahmed and Khaled, sons of Fahd Al-Dakhil in 1983 from the Kingdom of Saudi Arabia with a small exhibition in Souk Al Deira until it owned 80 showrooms in the Gulf. It's known for its outstanding excellence in crafting perfumes with quality.",none,none,"['Al Dakheel Oud', 'Unisex', 'Perfume', 'Natural', 'Woody', '50 ml', 'Eau de Parfum', 'Saffron, Pink Pepper, Violet Flower', 'White Musk, Rose, Flowers', 'Leather, Oud, Aromatic Woods, Amber']",none,Al Dakheel Oud,Unisex,Perfume,Natural,Woody,50 ml,Eau de Parfum,"Saffron, Pink Pepper, Violet Flower","White Musk, Rose, Flowers","Leather, Oud, Aromatic Woods, Amber",,
Al Dakheel Oud Musk Pomegranate Scent EDP,104 SAR,"This perfume is an exceptional blend rich in its distinctive and wonderful aroma of pomegranate.
Pomegranate is one of the scents that have unparalleled elegance and makes you feel uniquely fresh.
If you are looking for a fragrance that makes you look elegant this perfume is the best choice for you.
It also can be presented as a gift for your loved ones that will their different tastes and moods.
About the brand:
Al Dakheel for Oud is a glowing brand in the space of producing and marketing unique Oud and perfumes worldwide. The company started its journey with the brothers Ahmed and Khaled, sons of Fahd Al-Dakhil in 1983 from the Kingdom of Saudi Arabia with a small exhibition in Souk Al Deira until it owned 80 showrooms in the Gulf. It's known for its outstanding excellence in crafting perfumes with quality.",none,none,"['Al Dakheel Oud', 'Unisex', 'Perfume', 'Charismatic', 'Oriental', '50 ml', 'Eau de Parfum', 'Pomegranate, Cranberry', 'White Musk, Caramel']",none,Al Dakheel Oud,Unisex,Perfume,Charismatic,Oriental,50 ml,Eau de Parfum,"Pomegranate, Cranberry","White Musk, Caramel",,,
Al Dakheel Oud Musk Vanilla EDP,104 SAR,"A wonderful perfume belonging to the luxurious oriental fragrance family.
It is enriched with an exceptional aromatic blend extracted from the perfect natural ingredients that were carefully selected.
The fragrance begins with a refreshing blend of pear and pink pepper to start your day with freshness and confidence.
In the heart of the perfume are special touches of the exciting jasmine scent and the soft smell of vanilla mixed with the refreshing scent of coconut.
The fragrance is based on a luxurious base of musk and tonka bean.
About the brand:
Al Dakheel for Oud is a glowing brand in the space of producing and marketing unique Oud and perfumes worldwide. The company started its journey with the brothers Ahmed and Khaled, sons of Fahd Al-Dakhil in 1983 from the Kingdom of Saudi Arabia with a small exhibition in Souk Al Deira until it owned 80 showrooms in the Gulf. It's known for its outstanding excellence in crafting perfumes with quality.",none,none,"['Al Dakheel Oud', 'Unisex', 'Perfume', 'Charismatic', 'Oriental', '50 ml', 'Eau de Parfum', 'Pear, Pink Pepper', 'Jasmine, Vanilla, Coconut', 'Musk, Powder, Tonka Bean']",none,Al Dakheel Oud,Unisex,Perfume,Charismatic,Oriental,50 ml,Eau de Parfum,"Pear, Pink Pepper","Jasmine, Vanilla, Coconut","Musk, Powder, Tonka Bean",,
Al Dakheel Oud Tiffany Tag EDP,69 SAR,"A classic and luxurious blend that is designed with an unparalleled aromatic mix of carefully selected natural ingredients.
It will boost your sense of confidence and shine a light on your beautiful look.
The fragrance is designed with precision and professionalism to stay with you for long hours.
This perfume is suitable for all seasons and times and you will love it from the first spray.
About the brand:
Al Dakheel for Oud is a glowing brand in the space of producing and marketing unique Oud and perfumes worldwide. The company started its journey with the brothers Ahmed and Khaled, sons of Fahd Al-Dakhil in 1983 from the Kingdom of Saudi Arabia with a small exhibition in Souk Al Deira until it owned 80 showrooms in the Gulf. It's known for its outstanding excellence in crafting perfumes with quality.",none,none,"['Al Dakheel Oud', 'Unisex', 'Perfume', 'Extravagant', 'Fruity', '50 ml', 'Eau de Parfum', 'Apple, Red Currant, Pineapple', 'Freesia Flower, Jasmine', 'Musk, Aromatic Woods, Vanilla']",none,Al Dakheel Oud,Unisex,Perfume,Extravagant,Fruity,50 ml,Eau de Parfum,"Apple, Red Currant, Pineapple","Freesia Flower, Jasmine","Musk, Aromatic Woods, Vanilla",,
Cartier Eau De Cartier,345 SAR,"Eau De Cartier, introduced in 2001, enchants the nose with the crispness and warmth of citrus and spice. A befitting fragrance for daytime, it lingers with the fresh green scents of nature. The top notes are zingy bergamot and yuzu, which are expertly paired with the green essence of herbal coriander. Lavender and violet heart notes soften the sharpness of the earlier aromas, infusing the fragrance with intoxicating, flowery charm. White amber, patchouli, and cedar bring the motif to the ground, adding an earthy depth that is both richly savory and slightly sweet. Eau De Cartier is a unique, botanical cologne sure to stand out in a crowd.
About the brand:
Cartier is a French luxury goods conglomerate that designs, manufactures, distributes and sells jewelry and watches. Founded by Louis-François Cartier in Paris in 1847, the company operates more than 200 stores in 125 countries and is regarded as one of the most prestigious luxury goods manufacturers in the world. Expanding into the world of fragrances, the luxury house found further success, creating perfumes and care products that continue to appeal to their international customer base.",none,none,"['Cartier', 'Men', 'Perfume', 'Charismatic', 'Aromatic', '100 ml', '2001', 'Coriander Seeds, Yuzu, Bergamot,Violet Leaf, Lavender, Violet,Cedar, Patchouli, Musk, Amber', 'Eau de Toilette', 'Coriander Seeds, Yuzu, Bergamot', 'Violet Leaf, Lavender, Violet', 'Cedar, Patchouli, Musk, Amber']",none,Cartier,Men,Perfume,Charismatic,Aromatic,100 ml,2001,"Coriander Seeds, Yuzu, Bergamot,Violet Leaf, Lavender, Violet,Cedar, Patchouli, Musk, Amber",Eau de Toilette,"Coriander Seeds, Yuzu, Bergamot","Violet Leaf, Lavender, Violet","Cedar, Patchouli, Musk, Amber"
Al Dakheel Oud Dehn Oud Alfakher Perfume Oil,449 SAR,"The luxurious Dehn Al-Oud is an enchanting mixture that gives you a distinctive and unique scent.
It is made from the purest and finest types of Oud oil.
The fragrance has an attractive and bold finish that will boost your confidence and make you feel comfortable and confident all the time.
Its scent is rich and long-lasting and will provide you with a luxurious and royal feeling.
About the brand:
Al Dakheel for Oud is a glowing brand in the space of producing and marketing unique Oud and perfumes worldwide. The company started its journey with the brothers Ahmed and Khaled, sons of Fahd Al-Dakhil in 1983 from the Kingdom of Saudi Arabia with a small exhibition in Souk Al Deira until it owned 80 showrooms in the Gulf. It's known for its outstanding excellence in crafting perfumes with quality.",none,none,"['Al Dakheel Oud', 'Unisex', 'Perfume Oil', 'Glamorous', 'Oud', '3 ml', 'Perfume Oil']",none,Al Dakheel Oud,Unisex,Perfume Oil,Glamorous,Oud,3 ml,Perfume Oil,,,,,
Al Dakheel Oud Dehn Oud Almalaki Perfume Oil,219 SAR,"The royal oud oil is one of the finest types of oud oil extracted from nature and it will be your first choice from now on.
Enjoy a royal luxurious touch with this wonderful fragrance composition.
A fragrance that is designed to last for a very long time due to the high quality of the perfume oil.
It's a perfect choice for a luxurious gift for your loved ones.
About the brand:
Al Dakheel for Oud is a glowing brand in the space of producing and marketing unique Oud and perfumes worldwide. The company started its journey with the brothers Ahmed and Khaled, sons of Fahd Al-Dakhil in 1983 from the Kingdom of Saudi Arabia with a small exhibition in Souk Al Deira until it owned 80 showrooms in the Gulf. It's known for its outstanding excellence in crafting perfumes with quality.",none,none,"['Al Dakheel Oud', 'Unisex', 'Perfume Oil', 'Glamorous', 'Oud', '3 ml', 'Perfume Oil']",none,Al Dakheel Oud,Unisex,Perfume Oil,Glamorous,Oud,3 ml,Perfume Oil,,,,,
Al Dakheel Oud Dehn Oud Special Perfume Oil,296 SAR,"If you are looking for luxury and sophistication this is your perfect choice.
The fragrance scent is addictive from the first touch and will become one of your favorite companions at all times.
It contains an amazing aromatic formula extracted from the finest natural materials.
It also has a strong scent that will last for long hours without fading.
About the brand:
Al Dakheel for Oud is a glowing brand in the space of producing and marketing unique Oud and perfumes worldwide. The company started its journey with the brothers Ahmed and Khaled, sons of Fahd Al-Dakhil in 1983 from the Kingdom of Saudi Arabia with a small exhibition in Souk Al Deira until it owned 80 showrooms in the Gulf. It's known for its outstanding excellence in crafting perfumes with quality.",none,none,"['Al Dakheel Oud', 'Unisex', 'Perfume Oil', 'Glamorous', 'Oud', '3 ml', 'Perfume Oil']",none,Al Dakheel Oud,Unisex,Perfume Oil,Glamorous,Oud,3 ml,Perfume Oil,,,,,
Al Dakheel Oud Blend Patchouli Oud EDP,161 SAR,"An exceptional fragrance that combines a sense of freshness and luxury.
Enjoy a feeling of freshness and confidence with a blend of patchouli and floral notes.
The fragrance gives you an elegant and attractive look thanks to the wonderful and luxurious scent
A perfume that can be presented as a gift for your loved ones and will suit different tastes.
Its ingredients also combine an oriental authenticity with luxurious elegance.
About the brand:
Al Dakheel for Oud is a glowing brand in the space of producing and marketing unique Oud and perfumes worldwide. The company started its journey with the brothers Ahmed and Khaled, sons of Fahd Al-Dakhil in 1983 from the Kingdom of Saudi Arabia with a small exhibition in Souk Al Deira until it owned 80 showrooms in the Gulf. It's known for its outstanding excellence in crafting perfumes with quality.",none,none,"['Al Dakheel Oud', 'Unisex', 'Perfume', 'Natural', 'Woody', '50 ml', 'Eau de Parfum', 'Citrus, Carnation, Apple', 'Saffron, Peach, Davana', 'Oud, Amber, Patchouli']",none,Al Dakheel Oud,Unisex,Perfume,Natural,Woody,50 ml,Eau de Parfum,"Citrus, Carnation, Apple","Saffron, Peach, Davana","Oud, Amber, Patchouli",,
Al Dakheel Oud Exclamation Golden EDP,58 SAR,"A wonderful fragrance with an exceptional blend of fresh fruity notes.
A dreamy and rejuvenating fragrance that will captivate your soul from the first touch with its enchanting scent.
The fragrance is designed with a unique aromatic composition of distinctive natural ingredients.
The fragrance starts with delightful notes of red-orange and mandarin, giving you a sense of freshness that lasts all day.
In the heart of the fragrance are exciting touches of the sweet scent of honey mixed with the elegant scent of gardenia.
The fragrance ends with bold notes of patchouli sweetened with caramel.
About the brand:
Al Dakheel for Oud is a glowing brand in the space of producing and marketing unique Oud and perfumes worldwide. The company started its journey with the brothers Ahmed and Khaled, sons of Fahd Al-Dakhil in 1983 from the Kingdom of Saudi Arabia with a small exhibition in Souk Al Deira until it owned 80 showrooms in the Gulf. It's known for its outstanding excellence in crafting perfumes with quality.",none,none,"['Al Dakheel Oud', 'Unisex', 'Perfume', 'Extravagant', 'Fruity', '50 ml', 'Eau de Parfum', 'Red Orange, Tangerine', 'Honey, Gardenia Flower', 'Patchouli, Caramel']",none,Al Dakheel Oud,Unisex,Perfume,Extravagant,Fruity,50 ml,Eau de Parfum,"Red Orange, Tangerine","Honey, Gardenia Flower","Patchouli, Caramel",,
Al Dakheel Oud Blue Tag EDP,69 SAR,"A unique aromatic blend that belongs to the perfume family of luxurious woody notes.
Enjoy this cheerful scent that will make you feel bold and look elegant.
The fragrance is enriched with an amazing aromatic formula extracted from the finest carefully selected natural ingredients.
The fragrance opens with a delightful blend of citruses and fresh herbs.
And the heart of the fragrance is enriched with an exciting mix of roses and spices.
The fragrance ends with notes of wood and musk mixed perfectly with the scent of amber and vanilla.
About the brand:
Al Dakheel for Oud is a glowing brand in the space of producing and marketing unique Oud and perfumes worldwide. The company started its journey with the brothers Ahmed and Khaled, sons of Fahd Al-Dakhil in 1983 from the Kingdom of Saudi Arabia with a small exhibition in Souk Al Deira until it owned 80 showrooms in the Gulf. It's known for its outstanding excellence in crafting perfumes with quality.",none,none,"['Al Dakheel Oud', 'Unisex', 'Perfume', 'Natural', 'Woody', '50 ml', 'Eau de Parfum', 'Citrus, Herbs', 'Roses, Spices, Flowers', 'Woody Notes, Musk, Amber, Vanilla.']",none,Al Dakheel Oud,Unisex,Perfume,Natural,Woody,50 ml,Eau de Parfum,"Citrus, Herbs","Roses, Spices, Flowers","Woody Notes, Musk, Amber, Vanilla.",,
Al Dakheel Oud Alareen White EDP,87 SAR,"A distinctive fragrance rich with a luxurious oriental aromatic blend.
The fragrance is perfectly designed to suit both men and women.
The fragrance combines the fresh scent of roses and the luxurious scent of patchouli with a special touch of vanilla.
Boost your confidence and elegance with this amazing fragrance.
Its scent will attract all those around you from the first moment and will captivate all their hearts.
This wonderful fragrance will become an essential part of your perfume collection.
About the brand:
Al Dakheel for Oud is a glowing brand in the space of producing and marketing unique Oud and perfumes worldwide. The company started its journey with the brothers Ahmed and Khaled, sons of Fahd Al-Dakhil in 1983 from the Kingdom of Saudi Arabia with a small exhibition in Souk Al Deira until it owned 80 showrooms in the Gulf. It's known for its outstanding excellence in crafting perfumes with quality.",none,none,"['Al Dakheel Oud', 'Unisex', 'Perfume', 'Sensual', 'Floral', '100 ml', 'Eau de Parfum', 'Roses', 'Patchouli, Vanilla', 'Oud, Amber']",none,Al Dakheel Oud,Unisex,Perfume,Sensual,Floral,100 ml,Eau de Parfum,Roses,"Patchouli, Vanilla","Oud, Amber",,
Al Dakheel Oud Musk Alnaqa'a Perfume Oil,81 SAR,"Discover the enchanting scents of this unique fragrance.
A wonderful scent blended with musk to give you a special scent that announces your elegant presence.
The fragrance is perfectly designed to suit both men and women and to remain present throughout the day.
It's an amazing fragrance that deserves to be in your perfume collection.
About the brand:
Al Dakheel for Oud is a glowing brand in the space of producing and marketing unique Oud and perfumes worldwide. The company started its journey with the brothers Ahmed and Khaled, sons of Fahd Al-Dakhil in 1983 from the Kingdom of Saudi Arabia with a small exhibition in Souk Al Deira until it owned 80 showrooms in the Gulf. It's known for its outstanding excellence in crafting perfumes with quality.",none,none,"['Al Dakheel Oud', 'Unisex', 'Perfume Oil', 'Charismatic', 'Oriental', '10 ml', 'Perfume Oil']",none,Al Dakheel Oud,Unisex,Perfume Oil,Charismatic,Oriental,10 ml,Perfume Oil,,,,,
Al Dakheel Oud Crown Silver EDP,104 SAR,"An interesting perfume scent with a unique aromatic composition.
The fragrance belongs to the family of perfumes with cheerful fruity notes.
It is an amazing blend of bergamot, jasmine, lily, sandalwood, and luxurious musk mixed with patchouli.
This wonderful scent mix will boost the elegance of your look and lighten up your mood throughout the day.
An exceptional scent that will boost your confidence and make you feel comfortable all the time.
About the brand:
Al Dakheel for Oud is a glowing brand in the space of producing and marketing unique Oud and perfumes worldwide. The company started its journey with the brothers Ahmed and Khaled, sons of Fahd Al-Dakhil in 1983 from the Kingdom of Saudi Arabia with a small exhibition in Souk Al Deira until it owned 80 showrooms in the Gulf. It's known for its outstanding excellence in crafting perfumes with quality.",none,none,"['Al Dakheel Oud', 'Unisex', 'Perfume', 'Sensual', 'Floral', '100 ml', 'Eau de Parfum', 'Fruity Notes, Bergamot', 'Jasmine, Lily', 'Musk, Sandalwood, Patchouli']",none,Al Dakheel Oud,Unisex,Perfume,Sensual,Floral,100 ml,Eau de Parfum,"Fruity Notes, Bergamot","Jasmine, Lily","Musk, Sandalwood, Patchouli",,
Al Dakheel Oud Al Areen Black EDP,87 SAR,"An amazing aromatic mix of scents that suits strong and confident personalities.
The fragrance is enriched with an amazing aromatic combination of carefully selected natural ingredients.
This charming scent will make you stand out from the crowd and will draw all eyes to you.
The fragrance is also perfectly designed to suit both men and women.
About the brand:
Al Dakheel for Oud is a glowing brand in the space of producing and marketing unique Oud and perfumes worldwide. The company started its journey with the brothers Ahmed and Khaled, sons of Fahd Al-Dakhil in 1983 from the Kingdom of Saudi Arabia with a small exhibition in Souk Al Deira until it owned 80 showrooms in the Gulf. It's known for its outstanding excellence in crafting perfumes with quality.",none,none,"['Al Dakheel Oud', 'Unisex', 'Perfume', 'Natural', 'Woody', '100 ml', 'Eau de Parfum', 'Saffron', 'Vanilla', 'Oud']",none,Al Dakheel Oud,Unisex,Perfume,Natural,Woody,100 ml,Eau de Parfum,Saffron,Vanilla,Oud,,
Al Dakheel Oud Exlamation Silver EDP,58 SAR,"A fragrance that suits your taste and attracts everyone around you with its distinctive scent.
A mixture of unique essential oils which mixed together gives you an attractive and distinctive scent.
The fragrance will make everyone around you admire your exquisite and unique scent.
The fragrance is elegant and bold, boosting your confidence at all times.
The charming ingredients of the fragrance will tempt you to use the fragrance on a daily basis.
If you are looking for a perfume that is elegant and can be presented as a gift for people you care about, then this perfume is the perfect choice for you.
About the brand:
Al Dakheel for Oud is a glowing brand in the space of producing and marketing unique Oud and perfumes worldwide. The company started its journey with the brothers Ahmed and Khaled, sons of Fahd Al-Dakhil in 1983 from the Kingdom of Saudi Arabia with a small exhibition in Souk Al Deira until it owned 80 showrooms in the Gulf. It's known for its outstanding excellence in crafting perfumes with quality.",none,none,"['Al Dakheel Oud', 'Unisex', 'Perfume', 'Natural', 'Woody', '50 ml', 'Eau de Parfum', 'Bergamot, Geranium', 'Cinnamon, Jasmine, Rose', 'Musk, Amber, Cedar Wood']",none,Al Dakheel Oud,Unisex,Perfume,Natural,Woody,50 ml,Eau de Parfum,"Bergamot, Geranium","Cinnamon, Jasmine, Rose","Musk, Amber, Cedar Wood",,
Al Dakheel Oud Fazzaa EDP,104 SAR,"A special fragrance designed with a wonderful and unique blend that gives you a distinctive and elegant scent.
The fragrance boosts the elegance of your appearance and draws all eyes to you.
A blend that embodies the magnificence of the East with its wonderful touches of oud oil.
The fragrance is also perfectly designed to suit both men and women.
About the brand:
Al Dakheel for Oud is a glowing brand in the space of producing and marketing unique Oud and perfumes worldwide. The company started its journey with the brothers Ahmed and Khaled, sons of Fahd Al-Dakhil in 1983 from the Kingdom of Saudi Arabia with a small exhibition in Souk Al Deira until it owned 80 showrooms in the Gulf. It's known for its outstanding excellence in crafting perfumes with quality.",none,none,"['Al Dakheel Oud', 'Unisex', 'Perfume', 'Natural', 'Woody', '50 ml', 'Eau de Parfum', 'Oriental Aromatic Spices', 'Sandalwood', 'Oud Oil']",none,Al Dakheel Oud,Unisex,Perfume,Natural,Woody,50 ml,Eau de Parfum,Oriental Aromatic Spices,Sandalwood,Oud Oil,,
Al Dakheel Oud Mukhallat Tawaaf Perfume Oil,276 SAR,"A distinctive and perfect aromatic blend for both men and women.
This distinctive masterpiece embodies the magnificence of the East.
The fragrance embodies the art of craftsmanship with its professionally blended fragrance.
The fragrance is enriched with an amazing blend of carefully selected natural aromatic oriental notes.
The fragrance is perfect for all times, and its scent remains present for a long time.
About the brand:
Al Dakheel for Oud is a glowing brand in the space of producing and marketing unique Oud and perfumes worldwide. The company started its journey with the brothers Ahmed and Khaled, sons of Fahd Al-Dakhil in 1983 from the Kingdom of Saudi Arabia with a small exhibition in Souk Al Deira until it owned 80 showrooms in the Gulf. It's known for its outstanding excellence in crafting perfumes with quality.",none,none,"['Al Dakheel Oud', 'Unisex', 'Perfume Oil', 'Charismatic', 'Oriental', '12 ml', 'Oriental Blends, Natural Essential Oils', 'Perfume Oil']",none,Al Dakheel Oud,Unisex,Perfume Oil,Charismatic,Oriental,12 ml,"Oriental Blends, Natural Essential Oils",Perfume Oil,,,,
Boucheron Quatre Pour Homme,174 SAR,"A strong masculine fragrance that leaves an elegant and luxury sense with a unique fresh violet and lemon scent. This fragrance combines soft jasmine and strong musk that makes it last or long hours.
About the brand:
Boucheron is a large French family whose founder was Friedrich Boucheron in 1958, the family became famous for making precious and luxurious jewelry and opened the first boutique at Place Vendôme in Paris to offer that jewelry to the public and then invaded the world of parfumes for the first time in 1988 and the first parfume launched in this year is parfume The women's Bushoron, which soon spread to France and abroad",none,none,"['Boucheron', 'Men', 'Perfume', 'Extravagant', 'Aromatic', '50 ml', '2016', 'Violet leaves, green lemon, lemon, rose, jasmine sambak, cedar wood, cashmere wood, musk', 'Eau de Toilette', 'Violet leaves, green lemon, lemon', 'Roses, Yasmine Smbak', 'Cedarwood, cashmere wood, musk']",none,Boucheron,Men,Perfume,Extravagant,Aromatic,50 ml,2016,"Violet leaves, green lemon, lemon, rose, jasmine sambak, cedar wood, cashmere wood, musk",Eau de Toilette,"Violet leaves, green lemon, lemon","Roses, Yasmine Smbak","Cedarwood, cashmere wood, musk"
