Name,Price,Description,Rate,Rating_count,image,Brand,Gender,Product_Type,Character_x,Fragrance_Family,Size,Year,Ingredients,Concentration,Top_note,Middle_note,Base_note
Creed Sublime Vanille,2841,"Sublime Vanille is a vanilla fragrance with hints of citrus. It begins with the highest quality bourbon vanilla and vanilla orchid. Tonka bean sits at the heart of this carefully-crafted perfume, while lemon, bergamot, and musk form the base notes. This high-end fragrance has moderate sillage and high longevity, making it a great choice for all-day wear. ItÃ¢â‚¬â„¢s fresh and sweet without being overly sugary or offensive. Wear it to the office, for an evening out, or a casual weekend with friends and family. This uplifting, adaptable scent pairs well with any outfit and can be dressed up or down.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_creed_perfumes_sublime_vanille_for_women_eau_de_perfum_3508440752017_1st.jpg,Creed,Women,Perfume,Feminine,Oriental,75 ml,2010,"vanilla from comoros (africa), tonka bean,white bergamot, lemon,tonkin musk",Eau de Parfum,"vanilla from comoros (africa), tonka bean","white bergamot, lemon",tonkin musk
Creed Aventus Cologne,1742,"The perfect perfume exudes style, success, true grit, and vigour. The classic perfume maintains the utmost quality and longevity of this newest menÃ¢â‚¬â„¢s scent. It was well designed to remain with you for a long time with an attractive, refreshing scent.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/5/3508441001275_creed_creed_aventus_cologne_eau_de_parfum_100ml_1.jpg,Creed,Men,Perfume,Romantic,Aromatic,50 ml,2018,"apple, black currant, bergamot, pineapple, raspberry, patula, patchouli, jasmine, vanilla, musk, oakmoss, amber",Eau de Parfum,"apple, black currant, bergamot, pineapple","raspberry, batola, patchouli, jasmine","vanilla, musk, oakmoss, amber"
Creed Aventus For Her,1806,"Creed released a masculine version of this perfume in 2010, but in 2016, it decided to launch the female accompaniment. Aventus For Her is floral, fruity and warm all wrapped into one. A couple spritzes is all you need to excite your senses. It has a rather intriguing blend of notes that exudes confidence. It opens with a luscious array of violet, lemon, green apple, patchouli, pink pepper, and bergamot. The heart is composed of styrax, rose, Mysore sandalwood, and musk. It ends powerfully with amber, lilac, sweet peach, ylang-ylang, and black currant.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_creed_perfumes_aventus_for_womon_eau_de_perfum.jpg,Creed,Women,Perfume,Feminine,Aromatic,75 ml,1992,"egyptian green apple, pink berries, indonesian patchouli, italian bergamot,bulgarian and turkish roses, indian sandalwood, styrax, musk,sweet peach, cassis, lilac, amber, ylang ylang",Eau de Parfum,"egyptian green apple, pink berries, indonesian patchouli, italian bergamot","bulgarian and turkish roses, indian sandalwood, styrax, musk","sweet peach, cassis, lilac, amber, ylang ylang"
Creed Love In White,1501,"Love in White by Creed is an Oriental fragrance for women that was launched in 2005. It was largely inspired by a love for sailing and features symbolism of freedom, nature, and harmony. In keeping with that theme, this fragrance features scent notes from most of the continents. The top note is composed mainly of orange peel, hailing from South Spanish orchards. The middle notes are composed of a handful of scent notes. You may notice jasmine from Italy, narcissus from France, Egyptian iris, and Tonkin rise. The final notes to hit your senses include vanilla, sandalwood, and a touch of ambergris.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_creed_perfumes_love_in_white_for_women_eau_de_parfum.jpg,Creed,Women,Perfume,Feminine,Floral,75 ml,2016,"orange zest from italy,florentine iris, daffodils from france, magnolia, bulgarian rose, tonkin rice,vanilla, ambergris, mysore sandalwood",Eau de Parfum,orange zest from italy,"florentine iris, daffodils from france, magnolia, bulgarian rose, tonkin rice","vanilla, ambergris, mysore sandalwood"
Creed Tabarome,1512,"This fragrance is designed for men who aspire to be leaders. Its top notes feature Bergamot, lemon, mandarin, and ginger, complemented by a heart of jasmine, sandalwood, and vetiver. The base has notes of Musk, tobacco, and tea.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/5/3508441001077_creed_tabarome_eau_de_parfum_100ml_1_1_.jpg,Creed,Men,Perfume,Romantic,Oriental,100 ml,2000,"bergamot, lemon, mandarin, ginger, jasmine, sandalwood, vetiver, musk, tobacco, tea",Eau de Parfum,"bergamot, lemon, mandarin, ginger","jasmine, sandalwood, vetiver","musk, tobacco, tea"
Creed Sublime Vanille Les Royales Exclusives,6285,"This soft oriental scent is suitable for both him and her. Its top notes feature Tahitian vanilla and South American bourbon vanilla, complemented by a heart of Tonka bean. The base has notes of Bergamot, Calabrian lemon and Musk.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/5/3508442501514_creed_sublime_vanille_les_royales_exclusives_eau_de_parfum_250ml_1.jpg,Creed,Women,Perfume,Romantic,Aromatic,250 ml,2009,"tahitian vanilla, south american bourbon vanilla, tonka bean, bergamot, calabrian lemon, musk",Eau de Parfum,"tahitian vanilla, south american bourbon vanilla",tonka bean,"bergamot, calabrian lemon, musk"
Creed Viking,2087,"Celebrate your power with Viking Eau de Parfum for the fearless and fiery modern man. This bold men's fragrance combines fresh citrus notes of Calabrian bergamot and Sicilian lemon with pink peppercorn, Bulgarian rose, and peppermint. Woody base notes of Indian sandalwood and Haitian vetiver complete this masculine masterpiece.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/5/3508441001169_creed_viking_100_ml_eau_de_perfum_men.png,Creed,Men,Perfume,Romantic,Aromatic,50 ml,2017,"pink pepper, calabrian bergamot, sicilian lemon, pink pepper, bulgarian rose, spicy mint, sandalwood, haitian vetiver, indian patchouli, lavender.",Eau de Parfum,"pink pepper, calabrian bergamot, sicilian lemon","pink pepper, bulgarian rose, spicy mint","sandalwood, haitian vetiver, indian patchouli, lavender."
Creed Pure White Cologne,2737,"This perfume is often compared to a burst of English mist. This citrusy blend gives way to subtle sweetness and powdery elegance, calling to mind the fine mist of a foggy London day. The fragrance's blend lasts with you for a long time with an attractive, wonderful scent.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/5/3508442501538-creed-creed-les-royales-exclusives-pure-white-cologne-_u_-edp-250-ml.jpg,Creed,Women,Perfume,Romantic,Aromatic,250 ml,2011,"lemon, bergamot, grapefruit, galbanum, pears, baby grains, amber, white musk, rice powder",Eau de Parfum,"lemon, bergamot, grapefruit","gilbanum, pears, small grains","amber, white musk, rice powder"
Creed Original Santal,1512,"Original Santal is a distinctive menÃ¢â‚¬â„¢s scent steeped in the heritage of centuries of perfumery. This scent pays homage to the spiritual richness and royal splendor of India. As the name hints, precious sandalwood is the center of this scent, around which all other elements slowly dance. Top notes of Indian sandalwood, coriander, cinnamon, and juniper berry provide immediate satisfaction. The olfactory journey continues with middle notes of ginger, lavender, rosemary, and leaves of the absolute orange tree. The warm base of vanilla and tonka bean provides a lingering, satisfying finish.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_creed_perfumes_original_santal_for_men_eau_de_perfum_3508441001107_1st.jpg,Creed,Women,Perfume,Romantic,Citrus,100 ml,2004,"coriander, juniper berries, cinnamon, sandalwood, rosemary, ginger, lavender, petitgrain, tonkabean, vanilla.",Eau de Parfum,"orange tree absolute, jamaican ginger, sicilian lemon","lavender, peppermint, rosemary, pinkberries","mysore sandalwood, virginia cedar, vanilla, siam benzoin, ambergris, tonkin musk"
Creed Asian Green Tea,1309,"A morning spritz of Asian Green Tea, by Creed, is an invigorating start to the day. This exquisite fragrance boasts a playful bit of citrus grounded in earth tones and calming florals. Citrus characterizes the top notes, which consist of mandarin orange, lemon, bergamot, and neroli. A field of wildflowers grows in the middle notes, with violet, heliotrope, rose and black currant in the forefront. Here, too, is where the perfume gets its name, as green tea ties it all together. Earth tones like sandalwood, musk, and amber make up the base notes.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/5/3508441001442_creed_creed_asian_green_tea_edp_100_ml_1.jpg,Creed,Women,Perfume,Glamorous,Floral,100 ml,2000,"bergamont, mandarin, lemon, neroli,violet, heliotrope, green tea, rose, black currant,amber, sandalwood, musk ",Eau de Parfum,"bergamont, mandarin, lemon, neroli","violet, heliotrope, green tea, rose, black currant","amber, sandalwood, musk "
Creed Neroli Sauvage,1512,"This fragrance will provide you with charm, elegance and confidence. Its relaxed and stylish floral-citrus notes make it suitable for all ages. It features lemon, bergamot, and petitgrain on the top, coming on a heart of verbena and orange flower. The base has notes of ambergris and sandalwood.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/5/3508441001046_creed_neroli_sauvage_eau_de_parfum_100ml_1.jpg,Creed,Women,Perfume,Romantic,Citrus,100 ml,1994,"lemon, bergamot and petit grain, verbena, orange flower, ambergris, sandalwood",Eau de Parfum,"lemon, bergamot and petit grain","verbena, orange flower","ambergris, sandalwood"
Creed Spice And Wood,2841,"The second product from its Royal Exclusives line, Spice and Wood by Creed was released in 2010. This unisex fragrance is noble and powerful, making it ideal for evening and formal wear. Like its name, this scent is spicy and woody with a hint of velvety sweetness. It opens with a tantalizing mix of apple, bergamot, and lemon. A deep richness is exuded from its heart of angelic root, vetiver, patchouli, and cloves. The essence of alive and glorious woods soon seeps in with notes of cedarwood, oakmoss, and musk..",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_creed_perfumes_spice_and_wood_for_men_eau_de_perfum_3508440752024_1st.jpg,Creed,Men,Perfume,Romantic,Citrus,75 ml,2017,"apple, bergamot, lemon,angelic root, pinkberries, vetiver, patchouli, cloves, pimento (jamaican pepper), birch,iris, cedarwood, oakmoss, tonkin musk",Eau de Parfum,"apple, bergamot, lemon","angelic root, pinkberries, vetiver, patchouli, cloves, pimento (jamaican pepper), birch","iris, cedarwood, oakmoss, tonkin musk"
Creed Bois Du Portugal,1512,"This rich, warm scent embodies the tapestry of the forested Iberian Peninsula. Its smooth blend makes it perfect for men, thanks to its exotic wood and spice notes. It has Bergamot on the top, complemented by lavender in the heart, while the base has notes of sandalwood, vetiver ambergris and cedar.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/5/3508441001008_creed_bois_du_portugal_eau_de_parfum_100ml_1.jpg,Creed,Men,Perfume,Sophisticated,Floral Oriental,100 ml,1987,"bergamot, lavender, sandalwood, vetiver ambergris, cedar",Eau de Parfum,bergamot,lavender,"sandalwood, vetiver ambergris, cedar"
Creed Bois Du Portugal,1279,"Encounter a fantasy of rich woodland landscapes with Bois du Portugal, a spirited menÃ¢â‚¬â„¢s fragrance. This warm and sophisticated cologne dazzles the mind and the senses with its woody and spicy accords. Opening with the fresh, rejuvenating scent of bergamot evokes an atmosphere of high energy and sparkling refreshment. Meanwhile, the middle note of soothing lavender contradicts that intensity with its therapeutic floral remedy. Finally, base notes of marine ambergris, light cedar, sandalwood and vetiver balance the entire fragrance with their neutral accords for an intoxicating aroma thatÃ¢â‚¬â„¢s powerful yet not overbearing. Perfect for daywear at the office or a casual weekend afternoon.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_creed_perfumes_bois_du_portugal_for_men_eau_de_perfum_3508441106307_1st.jpg,Creed,Men,Perfume,Sophisticated,Floral,120 ml,2015,"bergamot, lavender,cedarwood,sandalwood, vetiver, ambergris",Eau de Parfum,"bergamot, lavender",cedarwood,"sandalwood, vetiver, ambergris"
Creed Jardin D'amalfi,6285,"The perfume makes you cruise down the beautiful Amalfi Coast on the iridescent sea to landscapes glistening with exotic fruits and luxurious spices. It gives you an undeniable sense of Italian romance and elegance. The perfume was designed with a long-lasting blend rich in cedar, apple, and rose in a blend of floral-fresh perfection.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/5/3508442501545-creed-creed-les-royales-exclusives-jardin-d_amalfi-_u_-edp-250-ml-splash.jpg,Creed,Women,Perfume,Dynamic,Citrus,250 ml,2011,"mandarin, bergamot, pink pepper, small grain, cedar wood, apple, rose, vetiver, white musk, cinnamon",Eau de Parfum,"mandarin, bergamot, pink pepper, small grains","cedar wood, apple, rose","vetiver, white musk, cinnamon"
Creed Pure White Cologne Le Royal Exclusives,2623,"A citrus fresh scent launched in 2011, Pure White Cologne, by Creed, is part of the Royal Exclusives Line created to celebrate the houseÃ¢â‚¬â„¢s 250th anniversary. This fragrance is also known as Original Cologne. Top notes of this scent are all citrus, with bittersweet grapefruit, tart lemon, and tangy bergamot. Middle heart notes are pear, neroli, and galbanum, followed by the interesting base note mix of rice, ambergris, white musk, and powdery notes. Best worn as a daytime cologne in the warmer months. A must-have for your perfume vanity!",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/5/3508442501033_creed_pure_white_cologne_le_royal_exclusives_1.jpg,Creed,Women,Perfume,Romantic,Aquatic,250 ml,1996,"lemon, bergamot, grapefruit,galbanum, petitgrain, sweet pear, nerol, ambergris, white musk, rice powder",Eau de Cologne,"lemon, bergamot, grapefruit","galbanum, pear, petitgrain","ambergris, white musk, rice powder"
Creed Royal Princess Oud Millesime,1765,"Royal Princess Oud Milesime, by Creed, was launched in 2015 for women. The word Milesime appears on many of Creed's fragrances as a mark of quality and means that the best crops from a particular year's harvest were used in that bottle. This floral fragrance opens with top notes from rose, the queen of flowers; powdery violet; and the fresh, complex scent of bergamot. The floral heart features sweet jasmine, Tuscan iris with its earthy aroma and the musk of patchouli, smoothed and sweetened by vanilla. Warm, exotic orientals comprise the base: Siam benzoin; deep, woody oud; resinous and sweet styrax; and milky sandalwood, with its lingering sweetness.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_creed_perfumes_royal_princess_oud_millesime_for_men_eau_de_perfum_3508441104648_1st.jpg,Creed,Unisex,Perfume,Charismatic,Floral,75 ml,2015,"sicilian bergamot, rose, sweet violet,jasmine, vanilla, patchouli, iris from tuscany,benjoin siam, mysore sandalwood, styrax",Eau de Parfum,"sicilian bergamot, rose, sweet violet","jasmine, vanilla, patchouli, iris from tuscany","benjoin siam, mysore sandalwood, styrax"
Creed Jasmin Imperatrice Eugenie,1403,"A perfume that is distinguished by its seductive, floral-oriental charm. The bergamot mixes with vanilla and amber in this perfume create a sensual fragrance that is full of strength and warmth. The perfume also contains other wonderful ingredients such as in this perfume are Tangerine, Green orange, sandalwood ambergris, and neroli.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/5/3508441104549_creed_jasmin_imperatrice_eugenie_eau_de_parfum_75ml_1_1_.jpg,Creed,Women,Perfume,Sophisticated,Floral Oriental,75 ml,2017,"bergamot, tangerine, green orange,sandalwood, ambergris, vanilla, and neroli",Eau de Parfum,bergamot,"tangerine, green orange","sandalwood, ambergris, vanilla, neroli"
Creed Original Vetiver,1512,"Modern and sophisticated, Original Vetiver is a refreshing cologne for the active man. The masculine fragrance, launched in 2004, is inspired by the clean, clear scents of the great outdoors. Crisp bergamot and mandarin orange are the top notes. Juicy and sweet, they awaken you to a new day. A spicy kick of ginger clears your mind and energizes your body. Green vetiver stands out at the middle, grassy and deep in profile. Floral iris and creamy sandalwood add body and warmth. Musk and ambergris end the fragrance with an alluring sensuality, making you irresistible to those in your path. Wear this woody cologne to get in touch with nature.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_creed_perfumes_original_vetiver_for_men_eau_de_perfum_3508441001091_1st.jpg,Creed,Women,Perfume,Sophisticated,Aromatic,100 ml,1987,"mandarin, ginger, bergamot, iris, vetiver, sandalwood, musk, amber.",Eau de Parfum,"bergamot, bitter orange, mandarin, vetiver leaves","white pepper, coriander, pinkberries","mysore sandalwood, vetiver, ambergris, tonkin musk"
Creed Spring Flower,1501,"Stop and smell the roses with Spring Flower fragrance by Creed. This perfume is a fresh bouquet of femininity. With base notes of luxurious ambergris and warm and woody musk, you enjoy a deep feeling of contentment. Rose and jasmine blend together for a romantic splash of sun. Next, the fragrance tops its signature scent with notes of melon, peach, and apple that caress you like a cool breeze. Floral, fresh fruity, and delightful; that is all you need for kick starting your day.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/5/3508441104563_creed_spring_flower_edp_75_ml_1.jpg,Creed,Women,Perfume,Feminine,Oriental,75 ml,2005,"bergamot, apple, apricot, melon, peach,jasmine, rose,musk",Eau de Parfum,"bergamot, apple, apricot, melon, peach","jasmine, rose",musk
Creed White Flowers,2841,"Created in 2011 to mark the brandÃ¢â‚¬â„¢s 250th anniversary, Creed White Flowers perfume for women captures the purity and intoxication of bright, fruity botanicals in its top notes of green apple, violet leaves, and fresh lemon. Middle notes of spicy geranium, lush rose, and exotic jasmine reveal the lush, titular white florals. Foundational notes of sandalwood and musk are joined by a lingering floral coda of narcissus. A gorgeous trail of refined femininity follows the wearer of this delightful fragrance. Creed White flowers is a complex and impressive blend of floral scents designed to make you feel heavenly.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/5/3508440752055_creed_creed_white_flowers_edp_75_ml_1.jpg,Creed,Women,Perfume,Romantic,Floral,75 ml,2016,"violet leaves, green apple, lemon,jasmine, geranium, rose,musk, sandalwood, narcissus",Eau de Parfum,"violet leaves, green apple, lemon","jasmine, geranium, rose","musk, sandalwood, narcissus"
Creed Jardin D'Amalfi,2841,"Jardin D'amalfi by Creed, released in 2011, brings elements of nature together for a unique and feminine fragrance. It opens with a burst of juicy citrus. Tangerine, lemon, bergamot, and berries combine to capture the fresh crispness of an orchard. Hints of rose add a delicateness to the strong opening, which soon welcomes the green and woody scents of vetiver, cedarwood, and musk. A little cinnamon is added to the mix, giving this perfume a little spice and an exotic elegance. This unisex fragrance adds a lot to the appeal of your look so much that it makes you the focus of everyone's eyes.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/5/3508440752048_creed_creed_jardin_d__amalfi_edp_75_ml_1.jpg,Creed,Women,Perfume,Romantic,Floral,75 ml,2011,"mandarin, bergamot, lemon, pink pepper, petit grain, cedar, rose, apple, vetiver, white musk, cinnamon.",Eau de Parfum,"mandarin, bergamot, pink pepper, petitgrain","cedar, apple, rose","vetiver from haiti, white musk, cinnamon"
Creed Fleurissimo,1403,"This fragrance has a sophisticated blend of glamour and elegant aristocracy. It has a magnificent blend of notes that will awaken the essence of femininity in every woman. It has notes of tuberose, violet, iris, and Bulgarian rose, which will draw all eyes in the room upon her.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/5/3508441104174_creed_fleurissimo_eau_de_parfum_75ml_1.jpg,Creed,Women,Perfume,Romantic,Floral,75 ml,2017,"bergamot, violet leaves, bulgarian rose, tuberose, ylang ylang, florentine iris, ambergris",Eau de Parfum,"bergamot, violet leaves","bulgarian rose, tuberose, ylang ylang","florentine iris, ambergris"
Creed White Amber,2841,"White Amber Perfume by Creed, Creamy, ethereal florals fuse with fruit, aquatic notes and warm wood in White Amber, a floral oriental fragrance that can be worn by women or men. The opening is a bright and uplifting fruity fusion of peach and citrus harmonized with marine undertones of ambroxan. Elegant floral and subtle vanillic notes emerge at the heart, mingling jasmine and benzoin with saltwater nuances. Warm amber and buttery sandalwood merge in the base notes to create a lightly lingering finish thatÃ¢â‚¬â„¢s perfect for casual spring and summer wear.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/5/3508440752062_creed_creed_white_amber_edp_75_ml_1.jpg,Creed,Women,Perfume,Romantic,Aromatic,75 ml,2018,"amber, vanilla, fruity accord,floral accord, sandalwood, benzoin,floral accord, absolute jasmine, sandalwood, benzoin",Eau de Parfum,"amber, vanilla, fruity accord","floral accord, sandalwood, benzoin","floral accord, absolute jasmine, sandalwood, benzoin"
Creed Royal Mayfair,1304,This perfume captures the essence of classic British style and pays homage to the place where things first began. It was perfectly designed to suit the elegance of a gentleman. The perfume has a great long-lasting blend.,none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/7/871854125818-creed-creed-royal-mayfair-_u_-edp-250-ml-_splash_.jpg,Creed,Women,Perfume,Feminine,Soft Floral,250 ml,2015,"raspberry, green lemon, pine nuts, rose, tuberose, orange, cedarwood, eucalyptus.",Eau de Parfum,"raspberry, green lemon, pine nuts","rose, tuberose","orange, cedar, and eucalyptus"
Creed Royal Mayfair,1359,"Introduced in 2015, Royal Mayfair is a fruity, floral fragrance that was created for men and women. Named after the posh, London neighborhood of Mayfair, this gourmand scent is a fresh and imaginative experience. This original scent was a bespoke creation for the Duke of Windsor; however, 80 years after the original was made, it is now available to you. The top notes are composed of gin, lime and pine tree. The heart centers around the perfect floral experience of a rose. The base notes finish with orange, cedar, and eucalyptus.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_creed_perfumes_royal_mayfair_for_men_eau_de_parfum.jpg,Creed,Men,Perfume,Romantic,Floral,120 ml,2005,"british gin, jamaican lime, scottish highland pine,duke of windsor roses,bahamian orange, canadian cedar, australian eucalyptus",Eau de Parfum,"british gin, jamaican lime, scottish highland pine",duke of windsor roses,"bahamian orange, canadian cedar, australian eucalyptus"
Creed Aqua Fiorentina,1501,"A fruity-fresh perfume for women and was released in 2009. The fragrance contains a wonderful blend of fruits such as valuable plum, and apple mixed with Rose, white carnation bergamot and lemon then enhanced with Virginia cedar, sandalwood, and delicious grapefruit. The production of this perfume was actually discontinued for a while and re-launched after an adjustment to the formula.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/5/3508441104631_creed_aqua_fiorentina_eau_de_parfum_75ml_1_1_.jpg,Creed,Women,Perfume,Romantic,Fruity,75 ml,2009,"plum, greengage, apple, rose, white carnation, bergamot, lemon, virginia cedar, sandalwood, and grapefruit",Eau de Parfum,"plum, greengage, apple","rose, white carnation, bergamot, lemon","virginia cedar, sandalwood, grapefruit"
Creed Tubereuse Indiana,1146,"The sultry, yet soft, Tubereuse Indiana is a tribute to the exotic and carnal tuberose from Comoros. Bergamot and tuberose combine to form the captivating head and heart notes of this Eau de Parfum, whilst vanilla and ambergris deliver sweetness and warmth. Equally floral and rich, this fragrance can be worn by both men and women.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/5/3508441104525-creed-creed-tubereuse-indiana-_w_-edp-75-ml.jpg,Creed,Women,Perfume,Feminine,Floral,75 ml,1980,"bergamot, indian tuberose, vanilla, ambergris.",Eau de Parfum,bergamot,indian tuberose,"vanilla, ambergris."
Creed Royal Oud,4565,"Released in 2011, Royal Oud is a synthesis of Parisian and Persian style and grace. It incorporates elements of a Persian palace with marble, wood, leather, and gold along with the historical components of its personal design house. The rarity of oud makes it a treasured scent note, and to own a fragrance that features it so strongly is a fortunate occurrence. The top notes are a citrusy mixture of lemon, Sicilian bergamot, and pink pepper. The heart notes reach out with galbanum, cedar and angelica root. The base is a luxurious finish of oud, sandalwood, and musk.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_creed_perfumes_royal_oud_for_men_eau_de_parfum.jpg,Creed,Unisex,Perfume,Charismatic,Aromatic,120 ml,1985,"lemon, pinkberries, bergamot,cedar, galbanum, angelica roots,sandalwood, oud, tonkin musk",Eau de Parfum,"lemon, pinkberries, bergamot","cedar, galbanum, angelica roots","sandalwood, oud, tonkin musk"
Creed Viking ,2087,"Creed Viking is an aromatic woody fragrance for men. The incredibly beautiful, heavy and warm perfume. Very attractive scent with very unique notes. Suitable for daily use.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/5/3508441001169_creed_viking_100_ml_eau_de_perfum_men.png,Creed,Women,Perfume,Romantic,Fruity,100 ml,2007,"pink pepper, calabrian bergamot, sicilian lemon, bulgarian rose, spicy mint, sandalwood, haitian vetiver, indian patchouli, lavender.",Eau de Parfum,"calabrian bergamot, sicilian lemon, la reunion baie rose (pink peppercorn)","peppercorn, bulgarian rose, peppermint","indian sandalwood, haitian vetiver, indian patchouli, lavandin absolute"
Creed Viking Cologne EDP,1806,"This is an aromatic fragrance for men that will capture the attention of everyone around you.
It begins with touches of mandarin and lemon that gives it a tangy yet attractive scent combined with the spicy accords of pink pepper.
It envelopes the air around you in a mix of lavender and geranium with the clam and distinct accords of nutmeg, sage and rosemary.
This perfume finishes with the magical touches of vetiver, sandalwood and cedarwood which combined with accords of olibanum and patchouli stays with you for a long time.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/5/3508441001381-creed-viking-cologne-edp-100ml.png,Creed,Men,Perfume,Romantic,Woody,100 ml,2017,unknown,Eau de Parfum,unknown,unknown,unknown
Creed Rose Imperiale,1035,"This perfume was created to remember the elegance and grandeur of classical Europe and the gilded crowns, thrones, and triumphs of extraordinary monarchs. This luxurious scent is a tribute to the noble rose and its countless devotees throughout history. It has a beautiful, long-lasting blend full of natural ingredients.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/5/3508441104778-creed-creed-rose-imperiale-_w_-edp-75-ml.jpg,Creed,Women,Perfume,Romantic,Floral Oriental,75 ml,2016,"white iris, bergamot, angelica, may flowers, tuberose, rose, cedarwood, patchouli, pink pepper, neroli, amber, caramel, cocoa, benzoin",Eau de Parfum,"white iris, bergamot, angelica, may flowers","tuberose, rose, cedarwood, patchouli, pink pepper, neroli","amber, caramel, cocoa, benzoin"
Creed Millesime Imperial,1512,"This amazing perfume was perfectly designed to suit both men and women. This fresh and stylish scent captures warm and sparkling notes richly layered with a sophisticated base. It has a beautiful, long-lasting blend. It was launched on the perfumeryÃ¢â‚¬â„¢s 150th anniversary.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/5/3508441001039-creed-creed-millesime-imperial-_u_-edp-100-ml.jpg,Creed,Women,Perfume,Sophisticated,Woody Oriental,100 ml,2017,"sea salts, fruits, bergamot, sicilian lemon, iris, mandarin, sea breezes, woods, musk",Eau de Parfum,"sea salts, fruits","bergamot, sicilian lemon, iris, mandarin","sea breezes, woods, musk"
Creed Love In Black,1076,This perfume is an endless length of black velvet strewn with Parma Violets: both the opulent musky purple flowers and the rare tender white blossoms. It was perfectly designed with a long-lasting blend that's rich in blackcurrant buds and clove.,none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/5/3508441104600-creed-creed-love-in-black-_w_-edp-75-ml.jpg,Creed,Women,Perfume,Romantic,Floral,75 ml,2008,"wildflowers, cedarwood, italian violet, musk, carnations, iris, bulgarian flowers, blackcurrant",Eau de Parfum,"wildflowers, cedar wood, italian violet","musk, clove, iris","flowers of bulgaria, black currant"
